Designator,Mid X,Mid Y,Layer,Rotation
C1,6.05,-38.30,T,180.00
C2,15.13,-60.43,T,0.00
C3,16.34,-47.41,T,0.00
C4,16.34,-48.34,T,180.00
C5,12.66,-60.43,T,180.00
C6,15.25,-58.81,T,270.00
C7,8.20,-51.75,T,180.00
C8,20.10,-51.86,T,0.00
C9,20.10,-52.86,T,0.00
C10,16.05,-21.23,T,0.00
C11,9.33,-49.28,T,180.00
C12,8.30,-19.29,T,0.00
C13,18.55,-47.86,T,270.00
C14,12.95,-58.81,T,270.00
C15,12.29,-45.71,T,90.00
C16,19.40,-56.56,T,0.00
C17,2.70,-27.07,T,180.00
C18,15.95,-30.58,T,0.00
C19,15.10,-40.40,T,270.00
C20,1.95,-15.48,T,180.00
C21,19.95,-43.80,T,0.00
C22,25.65,-34.20,T,0.00
C23,25.65,-27.09,T,0.00
C24,18.15,-71.30,T,270.00
C25,29.80,-30.90,T,90.00
C26,28.60,-44.40,T,270.00
C27,23.15,-43.70,T,0.00
C28,23.10,-53.13,T,0.00
C29,28.69,-53.79,T,270.00
C30,23.25,-62.60,T,180.00
C31,23.25,-65.60,T,180.00
C32,28.67,-63.31,T,270.00
C33,28.70,-72.75,T,270.00
C34,29.80,-29.07,T,270.00
D1,11.70,-74.05,T,45.00
D2,3.75,-23.03,T,270.00
D3,10.65,-73.00,T,45.00
D4,42.45,-12.50,T,90.00
D5,29.00,-19.71,T,270.00
D6,33.20,-42.00,T,0.00
D7,33.20,-38.50,T,180.00
D8,33.20,-51.50,T,0.00
D9,33.20,-48.00,T,180.00
D10,33.20,-61.00,T,0.00
D11,33.20,-57.50,T,180.00
D12,33.16,-70.52,T,0.00
D13,33.16,-67.00,T,180.00
D14,23.10,-19.71,T,90.00
D15,12.76,-75.09,T,45.00
F1,34.10,-20.90,T,270.00
J1,32.65,-74.65,T,0.00
J2,38.55,-31.16,T,90.00
J3,39.76,-22.62,T,90.00
J4,39.77,-40.63,T,90.00
J5,39.75,-50.16,T,90.00
J6,39.75,-59.70,T,90.00
J7,39.75,-69.21,T,90.00
J8,24.00,-83.22,T,90.00
J9,16.95,-36.90,T,270.00
J10,32.45,-12.76,T,180.00
J11,3.70,-63.80,T,0.00
J12,3.70,-54.01,T,0.00
J13,15.55,-12.76,T,180.00
J14,7.65,-54.05,T,0.00
JP1,2.50,-17.70,T,90.00
L1,16.34,-45.75,T,180.00
L2,6.40,-31.23,T,0.00
R1,14.25,-58.81,T,90.00
R2,3.10,-45.85,T,180.00
R3,23.25,-63.70,T,0.00
R4,14.20,-45.71,T,270.00
R5,13.24,-45.71,T,270.00
R6,18.55,-46.01,T,90.00
R7,13.40,-67.50,T,90.00
R8,11.50,-27.33,T,90.00
R9,11.50,-25.44,T,90.00
R10,6.30,-7.10,T,0.00
R11,12.45,-67.50,T,270.00
R12,26.06,-17.30,T,0.00
R13,26.05,-18.25,T,0.00
R14,26.05,-22.05,T,180.00
R15,26.05,-21.10,T,0.00
R16,26.05,-20.15,T,180.00
R17,26.05,-19.20,T,0.00
R18,33.16,-35.60,T,0.00
R19,33.20,-45.10,T,0.00
R20,33.20,-54.60,T,0.00
R21,33.10,-64.10,T,0.00
R22,27.65,-44.40,T,90.00
R23,26.70,-44.40,T,90.00
R24,27.74,-53.79,T,90.00
R25,26.79,-53.79,T,90.00
R26,27.72,-63.31,T,90.00
R27,27.75,-72.76,T,90.00
R28,26.77,-63.31,T,90.00
R29,26.80,-72.75,T,90.00
R30,11.50,-67.50,T,270.00
SW1,3.70,-49.25,T,90.00
SW2,19.95,-61.60,T,90.00
U1,7.19,-41.73,T,270.00
U2,14.35,-52.90,T,0.00
U3,8.25,-23.78,T,90.00
U4,4.25,-11.30,T,0.00
U5,17.78,-40.75,T,270.00
U6,33.20,-38.90,B,180.00
U7,33.20,-48.40,B,180.00
U8,33.20,-58.00,B,180.00
U9,33.20,-67.40,B,180.00
U10,25.62,-40.52,T,180.00
U11,33.05,-29.95,T,90.00
U12,25.73,-49.95,T,180.00
U13,25.72,-59.41,T,180.00
U14,25.70,-68.90,T,180.00
Y1,13.91,-63.09,T,0.00
